"Respondent ID","Collector ID","Start Date","End Date","IP Address","Email Address","First Name","Last Name","Custom Data 1","Klauzula zgody na przetwarzanie danych osobowych Zaznaczając 'zgadzam się' wyrażam zgodę na przetwarzanie moich danych osobowych, zgodnie z Ustawą z dnia 10 maja 2018 r. o ochronie danych osobowych oraz Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. w sprawie ochrony osób fizycznych w związku z przetwarzaniem danych osobowych i w sprawie swobodnego przepływu takich danych oraz uchylenia dyrektywy 95/46/WE (ogólne rozporządzenie o ochronie danych) w celu przeprowadzenia badań naukowych realizowanych w ramach projektu badawczego ,,Modelowanie rozumowań abdukcyjnych” oraz kontaktu ze mną w związku z moim udziałem w tych badaniach.","Każdy AS jest BASEM.Każdy BAS jest CESEM.Każdy AS jest CESEM.","Wyjaśnij swoją decyzję Eustachemu:","Jeśli zdanie ""Niektóre PURY są AWAKAMI"" jest prawdziwe, znaczy to że (wybierz jedną odpowiedź):","Zatem w prawdziwym świecie które z tych zdań są prawdziwe (możesz wybrać więcej niż jedno):","","","Jeśli zdanie ""Niektóre GABRY nie są AWAKAMI"" jest prawdziwe, znaczy to że (wybierz jedną odpowiedź):","Zatem w prawdziwym świecie które z tych zdań są prawdziwe (możesz wybrać więcej niż jedno):","","","Każde ŁUTKO jest GLARĄ.Każdy TOPEK jest ŁUTKIEM.  Niektóre TOPKI są GLARAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każda WEDA jest KRALEM.Żaden KRAL nie jest CEKRĄ.        Niektóre CEKRY nie są WEDAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każda FAFKA jest REWOREM.Każdy REWOR jest MUGĄ.    Niektóre FAFKI są MUGAMI.","Wyjaśnij swoją decyzję Eustachemu:","Żadna TALA nie jest MATUKIEM.Każde RUTKO jest TALĄ.                    Niektóre RUTKA nie są MATUKAMI.","Wyjaśnij swoją decyzję Eustachemu:","Każdy KUSEK jest CIAMĄ.Niektóre FODKI są KUSKAMI.Niektóre FODKI są CIAMAMI.","Wyjaśnij swoją decyzję Eustachemu:","Żadna RYFA nie jest FERĄ.Każdy BYNAK jest FERĄ.               Niektóre BYNAKI nie są RYFAMI.","Wyjaśnij swoją decyzję Eustachemu:","Płeć","","","Wiek","Kierunek studiów","Poziom studiów, trwających lub ukończonych (np. licencjackie, magisterskie itp.)","Rok studiów (jeśli trwają)","Czy uczyłaś/eś się kiedyś logiki formalnej?","","Pytania i uwagi:"
"114032587047","420006389","2022-05-18 06:15:56","2022-05-18 06:16:13","172.225.38.159","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114032194350","420006389","2022-05-17 18:42:41","2022-05-17 18:43:13","109.173.213.217","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114032099074","420006389","2022-05-17 16:46:42","2022-05-17 17:06:45","83.20.183.185","","","","","Zgadzam się","prawda","Jeżeli AS jest BASEM, a BAS jest CESEM to każdy AS również jest CESEM skoro są sobie równe (AS=BAS=CES)","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","ŁUTKO=GLARA a TOPEK=ŁUTKO wiec każde TOPKI są GLARAMI a nie tylko niektóre ","fałsz","WEDA= KRAL a KRAL=CEKRĄ  Wiec CEKRA=WEDA i to każda (wszystko jest jak równanie matematyczne)","fałsz","FAFKA=REWOR REWOR=MUGA  wiec FAFKA=MUGA wszystkie fafki są mugami","fałsz","TALA =/ MATUK RUTKO=TALA  RUTKA=/MATUKIEM wszystkie RUTKA nie są MATUKIEM","prawda","KUSEK=CIEMA, FOTKA=KUSKA (ale nie każda) FOTKA=CIEMIA ale nie każda ","fałsz","RYFA=/FERĄ, BYNAK=FERA, niektóre BYNAKI=/FERAMi wszystkie nie sa","Kobieta","","","21","Chemia ","Licencjackie ","2","","nie","Miłego dnia ☺️"
"114032096058","420006389","2022-05-17 16:43:12","2022-05-17 17:05:16","85.221.144.65","","","","","Zgadzam się","prawda","Skoro wiemy, że każdy AS jest na pewno BASEM, to możemy traktować wszystkie ASY jako BASY -- a każdy BAS jest CESEM, więc każdy AS też jest CESEM, bo każdy AS jest BASEM.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","TOPKI to to samo co ŁUTKA, a ŁUTKA to to samo co GLARY -- czyli TOPKI to to samo co GLARY, czyli wszystkie TOPKI są GLARAMI, czyli nie ma TOPKÓW, które NIE są GLARAMI","fałsz","WEDA i KRAL to to samo, czyli żadna WEDA nie jest CEKRĄ, czyli nie istnieją CEKRY które SĄ WEDAMI. Skoro uznaję, że ""niektóre"" oznacza ""jakieś, ale nie wszystkie"", to nie ma sensu stwierdzanie, że niektóre CEKRY nie są WEDAMI, jak żadne nie są.","fałsz","Każda FAFKA to REWOR, więc wszystkie FAFKI są MUGAMI, więc jeśli uznajemy, że ""niektóre"" oznacza ""jakieś, ale nie wszystkie"", to mamy fałsz.","fałsz","Żadne RUTKO nie jest MATUKIEM, więc jeśli zgadzamy się, że ""niektóre"" znaczy ""jakieś, ale nie wszystkie"", to ""niektóre RUTKA nie są MATUKAMI"" sugeruje że są RUTKA które SĄ MATUKAMI, ale żadne nie jest, czyli to fałsz.","prawda","Niektóre FODKI są KUSKAMI, a jak coś jest KUSKIEM to zawsze jest też CIAMĄ, więc niektóre FODKI są CIAMAMI","fałsz","Jeśli ""niektóre"" oznacza ""jakieś, ale nie wszystkie"", to ""niektóre BYNAKI nie są RYFAMI"" sugeruje, że istnieją BYNAKI, które są RYFAMI. Ale każdy BYNAK na pewno JEST FERĄ, a każda RYFA na pewno NIE jest FERĄ, więc nie może być BYNAKÓW które są RYFAMI.","","","Wolę nie określać","27","fizyka / językoznawstwo i zarządzanie informacją","doktoranckie / licencjackie","3","tak","",""
"114032102185","420006389","2022-05-17 16:50:55","2022-05-17 16:51:27","46.187.231.227","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031988741","420006389","2022-05-17 14:26:50","2022-05-17 14:27:06","95.108.50.183","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031352083","420006389","2022-05-16 19:09:31","2022-05-16 19:09:49","85.221.153.121","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031310347","420006389","2022-05-16 18:33:01","2022-05-16 18:33:35","104.28.129.36","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031299843","420006389","2022-05-16 18:24:16","2022-05-16 18:24:41","77.65.101.36","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031139034","420006389","2022-05-16 15:31:49","2022-05-16 15:32:00","109.173.133.214","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031104498","420006389","2022-05-16 14:43:03","2022-05-16 15:03:18","37.30.2.241","","","","","Zgadzam się","prawda","Każdy AS to to samo, co BAS. Zdanie że każdy BAS to CES możemy równie dobrze powiedzieć, że każdy AS to CES","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Wszystkie topki są glarami, więc to, że tylko niektóre są, to nieprawda. Ale jeśli Ty, Eustachy, uważasz, że jak wszystkie topki to glary, to niektóre topki to glary to prawda, to dla Ciebie może być prawda.","fałsz","Żadne cekry nie są wedami, Eustachy, nie tylko niektóre!","fałsz","Każda fafka jest mugą, prawda? Nie tylko niektóra","fałsz","Żadne Rutka nie są matukami. Nie tylko niektóre.","prawda","Eustachy, kuska i ciama to nazwa na to samo. Niektóre fodki są kuskami, czyli niektóre fodki są ciamami.","fałsz","Żadne bynaki to nie ryfy, nie tylko niektóre","Kobieta","","","19","Matematyka","Licencjackie","1","","nie","Bardzo chętnie poznam wyniki badań."
"114031111300","420006389","2022-05-16 14:53:55","2022-05-16 14:54:55","188.47.17.185","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031101841","420006389","2022-05-16 14:38:46","2022-05-16 14:39:43","150.254.106.137","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031099670","420006389","2022-05-16 14:35:19","2022-05-16 14:36:07","37.47.157.231","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031088157","420006389","2022-05-16 14:16:21","2022-05-16 14:17:55","37.47.155.0","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031080599","420006389","2022-05-16 14:03:40","2022-05-16 14:04:24","188.146.138.163","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031078970","420006389","2022-05-16 14:00:25","2022-05-16 14:01:42","188.33.240.180","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114031070156","420006389","2022-05-16 13:43:23","2022-05-16 13:49:45","85.221.135.129","","","","","Zgadzam się","prawda","Jeśli AS=BAS, a BAS=CES  To AS =CES","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","","","","","","","","","","","","","","","","","","","","","",""
"114031071476","420006389","2022-05-16 13:46:15","2022-05-16 13:46:43","93.175.120.42","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114026392791","420006389","2022-05-09 20:17:00","2022-05-09 20:53:39","79.191.138.56","","","","","Zgadzam się","prawda","Jeżeli AS należy do zbioru BAS, a wszystko określane jako BAS należy do zbioru rzeczy nazywanych: CES, wtedy AS również należy do CES.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Poprawną odpowiedziom byłoby, iż każdy TOPEK jest GLARĄ. Jest tak ponieważ każdy TOPEK jest ŁUTKIEM, a każde ŁUTKO JEST GLARĄ, więc KAŻDY TOPEK jest GLARĄ.","fałsz","Poprawnym zdaniem byłoby, iż żadne CEKRY nie WEDAMI. Jest tak ponieważ, każda WEDA jest KRALEM, natomiast żaden KRAL nie jest CEKRĄ, więc żadna WEDA, będąc KRALEM, nie może być CEKRĄ.","fałsz","Prawidłowym zdaniem byłoby, iż każda FAFKA jest MUGĄ. Jest tak ponieważ wszystkie FAFKI są REWOREM, A każdy REWOR jest MUGĄ, więc każda FAFKA jest MUGĄ.","fałsz","Prawidłowym zdaniem brzmiałoby, iż żadne RUTKO nie jest MATUKIEM. Jest tak ponieważ, każde RUTKO jest TALĄ, ale żadna TALA nie może być MATUKIEM, więc żadne RUTKO nie może być MATUKIEM.","prawda","Jest to zdanie prawdziwe, ponieważ przez to że każdy KUSEK jest CIAMĄ i niektóre FODKI są KUSKAMI, wiec przynajmniej te FODKI które są KUSKAMI, są również CIAMAMI.","fałsz","Prawidłowym zdaniem byłoby, iż żaden BYNAK nie jest RYFĄ. Jest tak ponieważ każdy BYNAK jest FERĄ, a żadna RYFA nie może być również FERĄ, wiec BYNAKI będące FERAMI nie mogą być również RYFAMI.","","Mężczyzna","","20","lekarsko-dentystyczny","jednolite magisterskie","1","","nie",""
"114026333367","420006389","2022-05-09 19:00:41","2022-05-09 19:03:09","5.173.153.126","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114026331117","420006389","2022-05-09 18:58:00","2022-05-09 18:58:22","31.61.244.44","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114026150872","420006389","2022-05-09 15:20:22","2022-05-09 15:20:43","37.47.212.212","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025805186","420006389","2022-05-08 22:21:26","2022-05-08 22:21:46","178.235.168.137","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025752852","420006389","2022-05-08 17:58:14","2022-05-08 17:58:25","89.70.79.192","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025752136","420006389","2022-05-08 17:54:46","2022-05-08 17:55:03","31.0.38.77","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025727764","420006389","2022-05-08 16:11:25","2022-05-08 16:26:51","94.254.230.49","","","","","Zgadzam się","prawda","Jeżeli do grupy Cesów zaliczamy wszystkie Basy, a każdy As jest Basem, to każdy As jest również Cesem","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Jeżeli każdy Topek to Łutkiem, a każde Łutko jest Glarą, to każdy Topek, a nie tylko niektóre jest Glarą","fałsz","Jeżeli każda Weda jest Kralem, a żaden Kral nie jest Cekrem, to w takim wypadku żadna Cekra nie może być Wedą","fałsz","Jeżeli do grupy Mug zaliczamy wszystkie Rewory, a do grupy Reworów wszystkie Fafki, to każda Fafką, a nie tylko niektóre jest też Mugiem","fałsz","Jeżeli każde Rutko jest Talą, a żadna Talą nie może być Matukiem, to wówczas żadne Rutko nie może być Matukiem","prawda","Te Fodki, które są Kuskami, muszą być również Ciamami","fałsz","Jeżeli każdy Bynak jest Ferą, a żadną Ferą nie może być Ryfa, to oznacza, że żaden Bynak nie jest Ryfą","Kobieta","","","21","Lekarski","Jednolite magisterskie","2","","nie",""
"114025729888","420006389","2022-05-08 16:19:46","2022-05-08 16:21:06","83.144.121.62","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025729763","420006389","2022-05-08 16:19:33","2022-05-08 16:20:07","87.205.165.42","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025728598","420006389","2022-05-08 16:14:51","2022-05-08 16:15:28","93.105.65.34","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114025727667","420006389","2022-05-08 16:11:05","2022-05-08 16:11:25","89.76.27.132","","","","","Zgadzam się","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114023006673","420006389","2022-05-04 08:32:40","2022-05-04 08:53:20","185.56.211.230","","","","","Zgadzam się","prawda","Ciąg implikacji, implikacje są przechodnie, uporządkowanie rozumowania poprzez wzbogacenie języka symbolami logicznymi upraszcza rozumowanie.","Tylko niektóre PURY są AWAKAMI, a więc nie wszystkie PURY są AWAKAMI.","Niektóre wróble są ptakami.","Niektóre ssaki są drapieżnikami.","","Tylko niektóre GABRY nie są AWAKAMI, a więc niektóre GABRY są AWAKAMI.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","ciąg implikacji, implikacje są przechodnie, ""niektóre"" mówi o podzbiorze, który nie jest całym zbiorem, jednak wszystkie TOPKI są GLARAMI","fałsz","Żadna WEDĄ nie jest CEKRĄ.   WEDY są podzbiorem KRALI, a nie istnieje KRAL, który jest jednocześnie CEKRĄ.","fałsz","FAFKI są podzbiorem REWORÓW, a REWORY są podzbiorem MUG, więc FAFKI są podzbiorem MUG (relacja zawierania jest przechodnia).  ""Niektóre"" implikuje, że istnieją FAFKI, które nie są MUGAMI ","fałsz","Nie istnieje RUTKO, które jest MATUKIEM  RUTKO jest podzbiorem TALI.  Żadna TALA nie jest MATUKIEM, więc w szczególności żadne RUTKO nie jest MATUKIEM.","prawda","Zbiór tych FODKÓW, który jest jednocześnie KUSKAMI, jest także zbiorem, gdzie wszycy są CIAMAMI. Zatem niektóre FODKI są CIAMAMI.","fałsz","Wszystkie BYNAKI nie są RYFAMI.  BYNAK jest podzbiorem FER, a nie istnieje FERA, która jest RYFĄ, zatem w szczególności nie istnieje BYNAK, który jest RYFĄ.","","Mężczyzna","","20","Matematyka, Informatyka","Licencjackie","1","tak","","Warto wspomnieć, żeby nie rysować zbiorów (kółek itp) podczas badania - niektórzy mogliby to robić, co  (chyba) mijało by się z celem badania.    Wyślijcie mi proszę paper z tego jak coś napiszecie, chętnie przeczytam: szach.bart@gmail.com"
"114021994142","420006389","2022-05-02 22:21:29","2022-05-02 22:39:48","89.64.9.108","","","","","Zgadzam się","prawda","Stwierdziłam,że jest to od siebie liniowo zależne i cechy są dziedziczone. (AS= BAS = CES) => (AS=CES)","Co najmniej niektóre PURY są AWAKAMI, a być może wszystkie PURY są AWAKAMI.","","Niektóre ssaki są drapieżnikami.","","Co najmniej niektóre GABRY nie są AWAKAMI, a być może żadna GABRA nie jest AWAKIEM.","","Niektóre zwierzęta lądowe nie są drapieżnikami.","","fałsz","Kazdy topek jest łutkiem,a kazdy łutek jest glarą. Czyli kazdy topek jest glarą. Słowo niektóre wyklucza słowo każdy. Wszystkie topki są glarami, bez wyjątku.","fałsz","Bycie wedą implikujr bycie kralem, bycie kralem oznacza niebycie cekra. Nie ma cekry, która byłaby wedą, czyli wszystkie cery nie są wedami. ","fałsz","wszystkie fafki są mugami","","","","","","","","","","","","","","","",""
